seed,parameter,trainable,numel
42,frozen_c17.base_model.evidence.attn.in_proj_bias,False,768
42,frozen_c17.base_model.evidence.attn.out_proj.weight,False,65536
42,frozen_c17.base_model.evidence.attn.out_proj.bias,False,256
42,frozen_c17.base_model.evidence.score.weight,False,256
42,frozen_c17.base_model.evidence.score.bias,False,1
42,frozen_c17.base_model.anchor.anchor,False,256
42,frozen_c17.base_model.anchor.attn.in_proj_weight,False,196608
42,frozen_c17.base_model.anchor.attn.in_proj_bias,False,768
42,frozen_c17.base_model.anchor.attn.out_proj.weight,False,65536
42,frozen_c17.base_model.anchor.attn.out_proj.bias,False,256
42,frozen_c17.base_model.anchor.norm.weight,False,256
42,frozen_c17.base_model.anchor.norm.bias,False,256
42,frozen_c17.base_model.discordance.mlp.0.weight,False,262144
42,frozen_c17.base_model.discordance.mlp.0.bias,False,256
42,frozen_c17.base_model.discordance.mlp.3.weight,False,256
42,frozen_c17.base_model.discordance.mlp.3.bias,False,256
42,frozen_c17.base_model.classifier.e_img.weight,False,256
42,frozen_c17.base_model.classifier.e_img.bias,False,1
42,frozen_c17.base_model.classifier.e_text.weight,False,256
42,frozen_c17.base_model.classifier.e_text.bias,False,1
42,frozen_c17.base_model.classifier.e_bio.weight,False,256
42,frozen_c17.base_model.classifier.e_bio.bias,False,1
42,frozen_c17.base_model.classifier.e_synergy.weight,False,256
42,frozen_c17.base_model.classifier.e_synergy.bias,False,1
42,frozen_c17.base_model.classifier.e_negative.weight,False,256
42,frozen_c17.base_model.classifier.e_negative.bias,False,1
42,frozen_c17.base_model.baseline_head.0.weight,False,196608
42,frozen_c17.base_model.baseline_head.0.bias,False,256
42,frozen_c17.base_model.baseline_head.3.weight,False,256
42,frozen_c17.base_model.baseline_head.3.bias,False,1
42,frozen_c17.mechanism_evidence_alignment.image.queries,False,1280
42,frozen_c17.mechanism_evidence_alignment.image.attn.in_proj_weight,False,196608
42,frozen_c17.mechanism_evidence_alignment.image.attn.in_proj_bias,False,768
42,frozen_c17.mechanism_evidence_alignment.image.attn.out_proj.weight,False,65536
42,frozen_c17.mechanism_evidence_alignment.image.attn.out_proj.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.0.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.0.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.1.weight,False,65536
42,frozen_c17.mechanism_evidence_alignment.image.out.1.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.4.weight,False,65536
42,frozen_c17.mechanism_evidence_alignment.image.out.4.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.5.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.image.out.5.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.queries,False,1536
42,frozen_c17.mechanism_evidence_alignment.text.out.0.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.text.out.0.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.out.1.weight,False,65536
42,frozen_c17.mechanism_evidence_alignment.text.out.1.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.out.4.weight,False,65536
42,frozen_c17.mechanism_evidence_alignment.text.out.4.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.out.5.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.text.out.5.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.temporal_proj.0.weight,False,262144
42,frozen_c17.mechanism_evidence_alignment.text.temporal_proj.0.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.temporal_proj.3.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.text.temporal_proj.3.bias,False,256
42,frozen_c17.mechanism_evidence_alignment.text.temporal_conflict.weight,False,256
42,frozen_c17.mechanism_evidence_alignment.text.temporal_conflict.bias,False,1
