patient_count,validation_auc,sensitivity,specificity,error_rate,row_type,seed,group,mean_latest_temporal_weight,mean_conflict,fraction_latest_weight_above_0_90,mean_normalized_temporal_entropy,latest_weight_selected_n_visits_spearman,fraction_uniform_temporal_weight,temporal_weights_finite,conflicts_finite,conflicts_nonconstant
32,0.9140625,0.875,0.75,0.1875,behavior_group,0,single_visit,1.0,0.0,,,,,,,
62,0.8969823100936524,0.8387096774193549,0.7419354838709677,0.20967741935483872,behavior_group,0,multi_visit,0.48999401975062584,0.22097291273455466,,,,,,,
12,1.0,1.0,0.9,0.08333333333333333,behavior_group,0,latest_history_agreement,0.5090764686465263,0.2539635976155599,,,,,,,
28,0.7647058823529411,0.7647058823529411,0.6363636363636364,0.2857142857142857,behavior_group,0,latest_history_conflict,0.49373279458710123,0.23030164752687726,,,,,,,
19,1.0,1.0,0.75,0.10526315789473684,behavior_group,0,latest_positive_like_history_negative_like,0.47564700010575744,0.1826337412783974,,,,,,,
3,0.5,0.0,0.5,0.6666666666666666,behavior_group,0,latest_negative_like_history_positive_like,0.46963345011075336,0.2447567343711853,,,,,,,
62,,,,,health,0,multi_visit,,,0.025806451612903226,0.8604442679112957,-0.8007323379533403,0.0,True,True,True
32,0.93359375,0.875,0.875,0.125,behavior_group,42,single_visit,1.0,0.0,,,,,,,
62,0.8324661810613944,0.6451612903225806,0.8387096774193549,0.25806451612903225,behavior_group,42,multi_visit,0.479124631131849,0.23945093039543397,,,,,,,
12,0.9500000000000001,0.5,0.9,0.16666666666666666,behavior_group,42,latest_history_agreement,0.5171685988704363,0.15343761940797168,,,,,,,
28,0.6631016042780749,0.6470588235294118,0.7272727272727273,0.32142857142857145,behavior_group,42,latest_history_conflict,0.474136082721608,0.2664292003427233,,,,,,,
19,0.9431818181818181,0.7272727272727273,1.0,0.15789473684210525,behavior_group,42,latest_positive_like_history_negative_like,0.45655663311481476,0.2526314647574174,,,,,,,
3,0.5,0.0,0.5,0.6666666666666666,behavior_group,42,latest_negative_like_history_positive_like,0.5164391994476318,0.24823027054468788,,,,,,,
62,,,,,health,42,multi_visit,,,0.0064516129032258064,0.9370749371667062,-0.9150080293990766,0.0,True,True,True
32,0.91796875,0.875,0.8125,0.15625,behavior_group,3407,single_visit,1.0,0.0,,,,,,,
62,0.8522372528616025,0.7741935483870968,0.8064516129032258,0.20967741935483872,behavior_group,3407,multi_visit,0.5223057505584532,0.22529966946571103,,,,,,,
12,0.9,1.0,0.9,0.08333333333333333,behavior_group,3407,latest_history_agreement,0.5009480888644854,0.13135170141855873,,,,,,,
28,0.7914438502673797,0.8235294117647058,0.6363636363636364,0.25,behavior_group,3407,latest_history_conflict,0.5387624534113067,0.27998224454266685,,,,,,,
19,0.8977272727272727,0.7272727272727273,0.875,0.21052631578947367,behavior_group,3407,latest_positive_like_history_negative_like,0.50520332706602,0.21774406684072395,,,,,,,
3,0.5,0.0,1.0,0.3333333333333333,behavior_group,3407,latest_negative_like_history_positive_like,0.5624558528264364,0.1385729908943176,,,,,,,
62,,,,,health,3407,multi_visit,,,0.0064516129032258064,0.893324367461666,-0.9096045439889552,0.0,True,True,True
